2018-02-05 17:21:05.123 [restartedMain] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext [AbstractApplicationContext.java:583] - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1cc8c9f0: startup date [Mon Feb 05 17:21:05 CST 2018]; root of context hierarchy
2018-02-05 17:21:06.224 [background-preinit] INFO  org.hibernate.validator.internal.util.Version [Version.java:30] - HV000001: Hibernate Validator 5.3.6.Final
2018-02-05 17:21:06.844 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java:155] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-02-05 17:21:06.954 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9bd28784] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:10.064 [restartedMain] INFO  org.springframework.cloud.commons.util.InetUtils [InetUtils.java:171] - Cannot determine local hostname
2018-02-05 17:21:10.459 [restartedMain] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory [InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
2018-02-05 17:21:10.714 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:347] - Initializing Eureka in region us-east-1
2018-02-05 17:21:12.168 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
2018-02-05 17:21:12.169 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
2018-02-05 17:21:12.454 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
2018-02-05 17:21:12.457 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
